iter	Passed	Remaining
399	94918	142377
400	95171	142164
401	95400	141913
402	95619	141649
403	95838	141385
404	96027	141077
405	96248	140816
406	96459	140542
407	96658	140249
408	96872	139979
409	97130	139773
410	97365	139534
411	97636	139345
412	97860	139090
413	98165	138949
414	98409	138721
415	98645	138482
416	98943	138331
417	99214	138140
418	99452	137904
419	99736	137731
420	99993	137520
421	100319	137404
422	100585	137204
423	100862	137020
424	101101	136784
425	101353	136565
426	101701	136475
427	102007	136327
428	102265	136115
429	102531	135913
430	102775	135683
431	103050	135492
432	103305	135275
433	103578	135081
434	103905	134958
435	104171	134753
436	104473	134596
437	104778	134441
438	105108	134319
439	105389	134131
440	105679	133956
441	105878	133665
442	106153	133470
443	106370	133202
444	106557	132898
445	106785	132644
446	106987	132358
447	107185	132067
448	107436	131843
449	107677	131605
450	107880	131322
451	108248	131238
452	108598	131132
453	108909	130979
454	109117	130700
455	109348	130450
456	109538	130152
457	109741	129868
458	109980	129628
459	110202	129367
460	110416	129098
461	110635	128835
462	110852	128570
463	111064	128298
464	111281	128033
465	111505	127776
466	111719	127508
467	111924	127230
468	112131	126954
469	112326	126665
470	112542	126401
471	112742	126118
472	113032	125936
473	113282	125710
474	113508	125456
475	113722	125189
476	113968	124959
477	114183	124694
478	114400	124431
479	114595	124145
480	114796	123865
481	115016	123606
482	115252	123365
483	115495	123131
484	115726	122885
485	115911	122589
486	116104	122302
487	116314	122035
488	116544	121787
489	116763	121529
490	116970	121258
491	117169	120980
492	117420	120754
493	117645	120503
494	117845	120225
495	118034	119937
496	118242	119670
497	118464	119415
498	118655	119131
499	118865	118865
500	119083	118607
501	119303	118352
502	119521	118095
503	119728	117828
504	119939	117564
505	120154	117304
506	120353	117030
507	120562	116765
508	120760	116489
509	120958	116215
510	121182	115965
511	121397	115706
512	121623	115458
513	121843	115206
514	122079	114967
515	122283	114699
516	122497	114441
517	122702	114174
518	122925	113925
519	123138	113666
520	123347	113403
521	123560	113145
522	123795	112906
523	123984	112626
524	124170	112344
525	124375	112079
