iter	Quantile:alpha=0.9
398	14910.99899
399	14903.4883
400	14897.22905
401	14892.35678
402	14888.12227
403	14883.25622
404	14876.65455
405	14872.54097
406	14865.29457
407	14858.75329
408	14849.91138
409	14842.07188
410	14836.99361
411	14834.49179
412	14830.7323
413	14827.12905
414	14823.08849
415	14819.62937
416	14810.23155
417	14802.94749
418	14797.33754
419	14790.01139
420	14785.43879
421	14780.30275
422	14776.77687
423	14770.23558
424	14765.16041
425	14758.03923
426	14755.10032
427	14749.81895
428	14746.01381
429	14741.08397
430	14739.01485
431	14733.98281
432	14726.50253
433	14720.69833
434	14713.28743
435	14709.41195
436	14701.03781
437	14697.95661
438	14691.59131
439	14688.74062
440	14685.88003
441	14681.54351
442	14673.36034
443	14671.75115
444	14663.31743
445	14659.41666
446	14656.55391
447	14653.59802
448	14650.58708
449	14648.69698
450	14646.35423
451	14642.18439
452	14638.3259
453	14633.62078
454	14631.53688
455	14625.91496
456	14622.62071
457	14616.86537
458	14612.61079
459	14607.39078
460	14601.71224
461	14595.12779
462	14590.08212
463	14582.83393
464	14579.35182
465	14575.99061
466	14569.33099
467	14563.05703
468	14558.74465
469	14553.69427
470	14551.14917
471	14548.01234
472	14540.81134
473	14536.66638
474	14530.5151
475	14526.3314
476	14523.22128
477	14519.34725
478	14516.93615
479	14513.80323
480	14510.10802
481	14506.02009
482	14500.1496
483	14492.12427
484	14487.98838
485	14480.07011
486	14477.42367
487	14475.55879
488	14471.89282
489	14466.70326
490	14464.49558
491	14462.10158
492	14457.47155
493	14453.4757
494	14447.19208
495	14445.58026
496	14439.78613
497	14435.00615
498	14430.65481
499	14426.96703
500	14424.20967
501	14419.29178
502	14415.04913
503	14411.75636
504	14409.3052
505	14405.3634
506	14401.37441
507	14397.39243
508	14393.14582
509	14389.84533
510	14385.17672
511	14381.76321
512	14379.716
513	14374.27236
514	14367.00582
515	14361.85854
516	14354.2632
517	14349.02255
518	14344.18612
519	14340.7813
520	14333.77241
521	14331.43397
522	14328.43822
523	14324.04432
524	14319.13173
525	14312.73814
526	14309.70532
527	14304.81757
528	14300.42469
529	14297.19051
530	14293.17767
531	14288.57834
532	14280.85482
533	14277.4792
534	14275.30301
535	14271.31305
536	14267.72587
537	14264.96054
538	14259.95752
539	14255.83896
540	14250.63641
541	14247.40419
542	14244.6795
543	14242.95691
544	14239.0561
545	14234.96321
546	14231.69505
547	14226.62706
548	14223.75773
549	14220.65342
550	14216.48854
551	14212.18065
552	14207.8884
553	14205.66645
554	14201.45544
555	14199.36608
556	14196.83089
557	14193.65706
558	14191.29735
559	14186.47768
560	14183.03877
561	14180.26656
562	14175.83255
563	14172.91594
564	14171.39153
565	14165.76166
566	14163.32065
567	14159.68108
568	14157.63098
569	14153.48722
570	14150.37076
571	14146.42237
572	14143.67638
573	14140.3901
574	14138.8157
575	14135.41908
576	14132.66902
577	14128.76458
578	14126.1054
579	14121.74632
580	14119.51236
581	14115.90389
582	14108.94857
583	14104.59553
584	14101.58106
585	14098.82652
586	14095.7952
587	14091.64628
588	14084.90509
589	14082.45908
590	14077.67582
591	14075.09389
592	14071.58809
593	14068.02823
594	14061.70595
595	14059.06478
596	14054.84738
597	14053.05776
598	14050.55107
599	14048.4525
600	14044.90453
601	14041.63434
602	14037.10025
603	14035.45174
604	14030.07277
605	14028.03186
606	14024.88664
607	14022.9668
608	14020.11339
609	14016.3312
610	14011.13869
611	14009.17936
612	14006.28127
613	14003.66733
614	13998.94613
615	13994.04117
616	13991.60004
617	13988.46378
618	13981.01741
619	13978.76612
620	13975.16944
621	13971.94749
622	13968.45624
623	13966.20389
624	13962.80214
625	13959.89252
626	13955.87761
627	13951.47981
628	13947.82913
629	13943.75312
630	13938.13996
631	13934.74124
632	13931.45748
633	13927.60687
634	13921.4838
635	13918.46121
636	13916.14897
637	13912.80117
638	13907.48979
639	13904.65443
640	13896.95002
641	13894.26251
642	13891.39337
643	13889.17802
644	13884.98868
645	13881.1012
646	13878.56514
647	13875.54566
648	13872.01433
649	13870.47469
650	13867.53187
651	13863.33636
652	13861.57613
653	13857.91183
654	13854.40813
655	13853.08396
656	13850.01575
657	13846.40298
658	13845.23931
659	13840.36311
660	13838.32002
661	13831.70334
662	13826.68923
663	13821.12818
664	13818.86538
665	13816.01493
666	13811.31923
667	13807.40775
668	13805.19283
669	13801.84606
670	13798.12419
671	13796.30906
672	13795.17813
673	13792.25084
674	13788.10159
675	13784.25965
676	13781.2838
677	13778.23758
678	13775.08457
679	13773.01841
680	13769.53878
681	13767.09404
682	13765.68352
683	13763.62547
684	13762.35667
685	13758.68848
686	13756.43872
687	13754.78309
688	13750.18096
689	13748.91996
690	13745.9694
691	13741.11191
692	13737.93872
693	13730.52278
694	13728.58213
695	13724.79705
696	13721.4083
697	13720.86445
698	13720.0958
699	13716.81813
700	13712.89657
701	13709.58265
702	13706.34926
703	13703.21736
704	13701.36959
705	13697.51096
706	13694.589
707	13692.62195
708	13689.16145
709	13686.62904
710	13680.93077
711	13674.82018
712	13673.14346
713	13669.57722
714	13667.0707
715	13662.29526
716	13658.81154
717	13654.26047
718	13652.61843
719	13647.35823
720	13644.08632
721	13640.52753
722	13635.20799
723	13631.29145
724	13629.45696
725	13627.25072
726	13623.90256
727	13621.73035
728	13619.4347
729	13618.07369
730	13617.11305
731	13613.09724
732	13608.35586
733	13604.77277
734	13603.66053
735	13601.10305
736	13600.0183
737	13597.4344
738	13594.82323
739	13592.99728
740	13591.17881
741	13590.03405
742	13586.62371
743	13585.28154
744	13583.98774
745	13583.04856
746	13581.56144
747	13578.15226
748	13575.84531
749	13573.15049
750	13572.37338
751	13569.3317
752	13566.32698
753	13564.07451
754	13559.58177
755	13557.60061
756	13554.91427
757	13553.68325
758	13552.80564
759	13551.32541
760	13547.9098
761	13545.22807
762	13543.1623
763	13537.95487
764	13536.88261
765	13533.47911
766	13532.09756
767	13528.93049
768	13524.4695
769	13520.73794
770	13516.77827
771	13515.29018
772	13513.68019
773	13512.08638
774	13507.71607
775	13506.55853
776	13503.80463
777	13502.22947
778	13500.19077
779	13498.36589
780	13496.46534
781	13493.49107
782	13490.59501
783	13489.15446
784	13487.45952
785	13485.8763
786	13484.78262
787	13483.3642
788	13478.65312
789	13476.9733
790	13474.97705
791	13471.68693
792	13470.71005
793	13469.8289
794	13468.86082
795	13464.9326
796	13461.72486
797	13460.76752
798	13454.84029
799	13453.83402
800	13452.71768
801	13450.01746
802	13447.655
803	13446.53916
804	13444.47946
805	13442.71189
806	13440.52457
807	13437.31511
808	13435.40983
809	13433.68764
810	13431.16017
811	13429.62184
812	13426.34563
813	13425.48659
814	13424.49144
815	13423.82834
816	13422.14099
817	13421.51784
818	13419.38776
819	13416.17437
820	13414.7606
821	13413.41031
822	13412.12568
823	13408.54535
824	13406.76213
825	13405.4965
826	13403.29595
827	13400.34613
828	13399.89975
829	13397.77774
830	13397.55106
831	13396.00211
832	13394.91205
833	13392.79583
834	13389.93363
835	13388.17406
836	13383.76084
837	13379.85834
838	13377.87575
839	13376.74073
840	13373.91095
841	13371.14217
842	13368.74349
843	13367.12854
844	13365.89913
845	13362.79165
846	13357.58955
847	13355.48037
848	13352.98925
849	13349.51011
850	13346.719
851	13342.37481
852	13341.02242
853	13337.35728
854	13336.03344
855	13334.74291
856	13331.53935
857	13328.71211
858	13327.29817
859	13324.91448
860	13322.87925
861	13319.78
862	13317.33088
863	13316.07652
864	13314.80228
865	13312.56134
866	13306.27672
867	13304.78969
868	13301.56935
869	13298.53117
870	13295.63443
871	13294.49904
872	13289.97574
873	13288.55844
874	13284.51595
875	13281.21269
876	13279.82407
877	13276.80324
878	13275.03499
879	13272.68264
880	13269.48945
881	13267.93476
882	13266.68499
883	13264.95302
884	13262.46039
885	13261.07787
886	13259.69341
887	13257.14466
888	13253.3884
889	13251.96897
890	13251.00974
891	13248.90296
892	13247.62534
893	13245.89246
894	13243.08164
895	13237.80881
896	13236.40207
897	13235.69677
898	13232.24068
899	13231.13091
900	13228.15592
901	13225.58904
902	13225.03509
903	13221.65785
904	13220.78776
905	13219.03681
906	13217.35751
907	13214.97767
908	13212.18621
909	13209.36346
910	13206.07779
911	13204.87889
912	13201.72771
913	13198.62784
914	13198.11224
915	13196.61653
916	13194.31411
917	13193.30392
918	13192.87918
919	13191.63553
920	13189.45815
921	13187.37138
922	13185.89169
923	13183.71104
924	13182.06076
925	13181.01076
926	13178.60856
927	13175.11491
928	13171.76345
929	13170.42586
930	13166.44667
931	13165.15118
932	13161.92076
933	13158.61996
934	13153.75372
935	13152.71014
936	13149.65454
937	13147.21988
938	13146.8892
939	13144.20492
940	13141.02555
941	13138.26221
942	13134.67163
943	13132.40267
944	13131.11363
945	13130.90234
946	13129.4486
947	13127.68941
948	13125.40821
949	13123.56532
950	13122.22425
951	13121.74382
952	13118.97889
953	13118.14086
954	13117.43057
955	13115.27448
956	13114.15676
957	13112.90417
958	13110.78433
959	13107.40511
960	13106.5805
961	13105.38657
962	13104.64821
963	13102.58051
964	13101.57615
965	13097.71717
966	13096.60325
967	13094.84677
968	13091.27801
969	13087.9318
970	13084.25796
971	13083.49653
972	13081.92876
973	13079.24393
974	13077.29997
975	13074.6835
976	13072.43784
977	13070.77877
978	13070.17805
979	13068.93389
980	13065.63253
981	13064.20134
982	13060.83939
983	13059.64856
984	13058.8811
985	13057.28347
986	13056.04464
987	13053.34459
988	13051.8603
989	13051.0377
990	13050.28349
991	13048.03225
992	13047.11278
993	13042.70333
994	13040.85268
995	13039.23668
996	13038.38676
997	13037.00039
998	13034.93197
999	13033.26992
